mngr,total_hwins,total_hgames,total_awins,total_agames,h_odds,a_odds,log_odds_ratio
"Ashworth, David",47,68,25,68,2.238095238095238,0.5813953488372093,1.3479494548119972
"Barclay, Wil",34,44,17,44,3.3999999999999995,0.6296296296296297,1.6863989535702284
"Benítez, Rafael",78,114,48,114,2.166666666666667,0.7272727272727272,1.0916436193520167
"Dalglish, Kenny",92,140,68,140,1.9166666666666667,0.9444444444444445,0.7077459799810979
"Evans, Roy",54,85,29,87,1.7419354838709675,0.49999999999999994,1.2481440226390734
"Fagan, Joe",26,42,18,42,1.6250000000000002,0.75,0.7731898882334819
"Houllier, Gérard",65,114,47,114,1.3265306122448979,0.7014925373134328,0.637111989465918
"Kay, George",73,159,47,159,0.8488372093023256,0.4196428571428571,0.7044634144799196
"Klopp, Jürgen",6,15,7,15,0.6666666666666667,0.875,-0.27193371548364165
"McQueen, Matt",59,105,24,105,1.2826086956521738,0.2962962962962963,1.4652913717411176
"Paisley, Bob",137,188,73,187,2.6862745098039214,0.6403508771929824,1.4338943003499034
"Patterson, George",94,182,42,184,1.0681818181818183,0.29577464788732394,1.28411540710969
"Rodgers, Brendan",37,61,26,61,1.5416666666666667,0.7428571428571429,0.7301156057642104
"Shankly, Bill",217,306,104,305,2.4382022471910116,0.5174129353233831,1.550174992726023
"Souness, Graeme",37,59,10,56,1.6818181818181819,0.2173913043478261,2.045931762780958
"Taylor, Phil",53,71,20,73,2.9444444444444446,0.3773584905660377,2.054479795654088
"Watson, Tom",193,339,104,339,1.3219178082191783,0.4425531914893617,1.0942781821993355
"Welsh, Don",50,109,25,108,0.8474576271186441,0.30120481927710846,1.0344503444508237
